document_id,title,file_name,file_type,extension,category,data_role,is_content_document,is_manifest_file,is_system_file,is_archive_file,is_processable,relative_path,local_path,source_url,source_domain,language,file_size_bytes,checksum_sha256,is_public,access_note,ingested_at,ingestion_status,issues,page_count,text_sample_length
doc_4cc843cdb58ada04,Giới thiệu,hus.vnu.edu.vn__gioi-thieu__cac-khuon-vien.html,html,.html,thong_tin_chung,content,True,False,False,False,True,html/public_pages/hus.vnu.edu.vn__gioi-thieu__cac-khuon-vien.html,D:\DM\lumi\data\raw\html\public_pages\hus.vnu.edu.vn__gioi-thieu__cac-khuon-vien.html,https://hus.vnu.edu.vn/gioi-thieu/cac-khuon-vien,hus.vnu.edu.vn,vi,92186,c294b00de7ad0388e6e235aae2d3d8371e4a4e0afa1d140a5c19f36116aba982,True,Nguồn public truy cập không cần đăng nhập; chỉ dùng cho học tập/nghiên cứu.,2026-05-18T09:51:54.791983+00:00,ok,[],0,2816
doc_f772dbdd370c1609,Hội đồng Khoa học Đào tạo,hus.vnu.edu.vn__gioi-thieu__can-bo__hoi-dong-khoa-hoc-dao-tao.html,html,.html,nghien_cuu,content,True,False,False,False,True,html/public_pages/hus.vnu.edu.vn__gioi-thieu__can-bo__hoi-dong-khoa-hoc-dao-tao.html,D:\DM\lumi\data\raw\html\public_pages\hus.vnu.edu.vn__gioi-thieu__can-bo__hoi-dong-khoa-hoc-dao-tao.html,https://hus.vnu.edu.vn/gioi-thieu/can-bo/hoi-dong-khoa-hoc-dao-tao,hus.vnu.edu.vn,vi,75411,53d011f060b928192b10e155ece6a4de62b4b094e1f5d53ac9edb793ef6062e8,True,Nguồn public truy cập không cần đăng nhập; chỉ dùng cho học tập/nghiên cứu.,2026-05-18T09:51:54.816324+00:00,ok,[],0,4132
doc_4d1775470f3454f5,Chiến lược phát triển,hus.vnu.edu.vn__gioi-thieu__chien-luoc-phat-trien.html,html,.html,thong_tin_chung,content,True,False,False,False,True,html/public_pages/hus.vnu.edu.vn__gioi-thieu__chien-luoc-phat-trien.html,D:\DM\lumi\data\raw\html\public_pages\hus.vnu.edu.vn__gioi-thieu__chien-luoc-phat-trien.html,https://hus.vnu.edu.vn/gioi-thieu/chien-luoc-phat-trien,hus.vnu.edu.vn,vi,225460,09d11cb683b86439d74ba680b5d11bb5b9cb51e9adae3cff789bd4e0d0113db2,True,Nguồn public truy cập không cần đăng nhập; chỉ dùng cho học tập/nghiên cứu.,2026-05-18T09:51:54.857171+00:00,ok,[],0,35066
doc_7eacf4c35c828e7e,Ban Giám Hiệu Trường,hus.vnu.edu.vn__gioi-thieu__co-cau-to-chuc__ban-giam-hieu.html,html,.html,thong_tin_chung,content,True,False,False,False,True,html/public_pages/hus.vnu.edu.vn__gioi-thieu__co-cau-to-chuc__ban-giam-hieu.html,D:\DM\lumi\data\raw\html\public_pages\hus.vnu.edu.vn__gioi-thieu__co-cau-to-chuc__ban-giam-hieu.html,https://hus.vnu.edu.vn/gioi-thieu/co-cau-to-chuc/ban-giam-hieu,hus.vnu.edu.vn,vi,89879,becf1e1d677c954f389f06821ce8a74748687c57ef0577dfac522eeb078190c6,True,Nguồn public truy cập không cần đăng nhập; chỉ dùng cho học tập/nghiên cứu.,2026-05-18T09:51:54.878879+00:00,ok,[],0,2689
doc_47f2b1901c0e7b0b,Đảng - Đoàn thể,hus.vnu.edu.vn__gioi-thieu__co-cau-to-chuc__dang-doan-the.html,html,.html,thong_tin_chung,content,True,False,False,False,True,html/public_pages/hus.vnu.edu.vn__gioi-thieu__co-cau-to-chuc__dang-doan-the.html,D:\DM\lumi\data\raw\html\public_pages\hus.vnu.edu.vn__gioi-thieu__co-cau-to-chuc__dang-doan-the.html,https://hus.vnu.edu.vn/gioi-thieu/co-cau-to-chuc/dang-doan-the,hus.vnu.edu.vn,vi,91247,f61f7a8500246379240d237aa5f0def2e83cb6d615d840d9211cce19915488a2,True,Nguồn public truy cập không cần đăng nhập; chỉ dùng cho học tập/nghiên cứu.,2026-05-18T09:51:54.900956+00:00,ok,[],0,2802
doc_2529ec812ef02fe6,Sơ đồ tổ chức,hus.vnu.edu.vn__gioi-thieu__co-cau-to-chuc__du-an-va-cong-ty.html,html,.html,thong_tin_chung,content,True,False,False,False,True,html/public_pages/hus.vnu.edu.vn__gioi-thieu__co-cau-to-chuc__du-an-va-cong-ty.html,D:\DM\lumi\data\raw\html\public_pages\hus.vnu.edu.vn__gioi-thieu__co-cau-to-chuc__du-an-va-cong-ty.html,https://hus.vnu.edu.vn/gioi-thieu/co-cau-to-chuc/du-an-va-cong-ty,hus.vnu.edu.vn,vi,101328,8190f68cb2cb2dc3d5cbe4e1b1f8e9a2bb2a5a131f1932127a528d2839d33f2c,True,Nguồn public truy cập không cần đăng nhập; chỉ dùng cho học tập/nghiên cứu.,2026-05-18T09:51:54.926352+00:00,ok,[],0,2816
doc_d702d9bab1b02790,Khoa Trực thuộc,hus.vnu.edu.vn__gioi-thieu__co-cau-to-chuc__khoa-truc-thuoc.html,html,.html,thong_tin_chung,content,True,False,False,False,True,html/public_pages/hus.vnu.edu.vn__gioi-thieu__co-cau-to-chuc__khoa-truc-thuoc.html,D:\DM\lumi\data\raw\html\public_pages\hus.vnu.edu.vn__gioi-thieu__co-cau-to-chuc__khoa-truc-thuoc.html,https://hus.vnu.edu.vn/gioi-thieu/co-cau-to-chuc/khoa-truc-thuoc,hus.vnu.edu.vn,vi,142436,bb78494b09de9249668f32772ab2f2974d85e1d82daf13638f5ef06d622b8ec6,True,Nguồn public truy cập không cần đăng nhập; chỉ dùng cho học tập/nghiên cứu.,2026-05-18T09:51:54.956139+00:00,ok,[],0,5429
doc_ac2a9b3e37bd0608,Phòng ban chức năng,hus.vnu.edu.vn__gioi-thieu__co-cau-to-chuc__phong-ban-chuc-nang.html,html,.html,thong_tin_chung,content,True,False,False,False,True,html/public_pages/hus.vnu.edu.vn__gioi-thieu__co-cau-to-chuc__phong-ban-chuc-nang.html,D:\DM\lumi\data\raw\html\public_pages\hus.vnu.edu.vn__gioi-thieu__co-cau-to-chuc__phong-ban-chuc-nang.html,https://hus.vnu.edu.vn/gioi-thieu/co-cau-to-chuc/phong-ban-chuc-nang,hus.vnu.edu.vn,vi,93423,08cf14bfc6db658aace7c14aa0460e2c5c5b65633c1d5cc06398613ef3038021,True,Nguồn public truy cập không cần đăng nhập; chỉ dùng cho học tập/nghiên cứu.,2026-05-18T09:51:54.980386+00:00,ok,[],0,3052
doc_4fd5f4b7c8d1815b,Phòng thí nghiệm Trọng điểm,hus.vnu.edu.vn__gioi-thieu__co-cau-to-chuc__phong-thi-nghiem-trong-diem.html,html,.html,nghien_cuu,content,True,False,False,False,True,html/public_pages/hus.vnu.edu.vn__gioi-thieu__co-cau-to-chuc__phong-thi-nghiem-trong-diem.html,D:\DM\lumi\data\raw\html\public_pages\hus.vnu.edu.vn__gioi-thieu__co-cau-to-chuc__phong-thi-nghiem-trong-diem.html,https://hus.vnu.edu.vn/gioi-thieu/co-cau-to-chuc/phong-thi-nghiem-trong-diem,hus.vnu.edu.vn,vi,67305,af335e1fe63ad364b2f60ae12113de0635fa3cb6f033116a52633bf2d1c6205a,True,Nguồn public truy cập không cần đăng nhập; chỉ dùng cho học tập/nghiên cứu.,2026-05-18T09:51:54.999208+00:00,ok,[],0,2767
doc_e4537aa14e4f07c3,Sơ đồ tổ chức,hus.vnu.edu.vn__gioi-thieu__co-cau-to-chuc__so-do-to-chuc.html,html,.html,thong_tin_chung,content,True,False,False,False,True,html/public_pages/hus.vnu.edu.vn__gioi-thieu__co-cau-to-chuc__so-do-to-chuc.html,D:\DM\lumi\data\raw\html\public_pages\hus.vnu.edu.vn__gioi-thieu__co-cau-to-chuc__so-do-to-chuc.html,https://hus.vnu.edu.vn/gioi-thieu/co-cau-to-chuc/so-do-to-chuc,hus.vnu.edu.vn,vi,101514,06ee48351fff931361f063d039b1f65411d09927843394c47ce728f2a6cc7cd7,True,Nguồn public truy cập không cần đăng nhập; chỉ dùng cho học tập/nghiên cứu.,2026-05-18T09:51:55.023904+00:00,ok,[],0,2834
