url,title,source_page
https://hus.vnu.edu.vn/DATA/IMAGES/2020/06/1.ptn-khoa-hoc-du-lieu.pdf,PTN Khoa học dữ liệu,https://hus.vnu.edu.vn/khoa-hoc-cong-nghe/phong-thi-nghiem
https://hus.vnu.edu.vn/DATA/IMAGES/2020/06/10.ptn-khoa-hoc-du-lieu-chuyen-de.pdf,PTN Khoa học dữ liệu,https://hus.vnu.edu.vn/khoa-hoc-cong-nghe/phong-thi-nghiem
https://hus.vnu.edu.vn/DATA/IMAGES/2020/06/20.ptn-tinh-toan-trong-khoa-hoc-vat-lieu.pdf,PTN Tính toán trong Khoa học Vật liệu,https://hus.vnu.edu.vn/khoa-hoc-cong-nghe/phong-thi-nghiem
https://hus.vnu.edu.vn/DATA/IMAGES/2020/06/25.ptn-hoa-moi-truong.pdf,PTN Hóa môi trường,https://hus.vnu.edu.vn/khoa-hoc-cong-nghe/phong-thi-nghiem
https://hus.vnu.edu.vn/DATA/IMAGES/2020/06/34.ptn-bm-hoa-sinh-va-sinh-hoc-phan-tu.pdf,PTN BM Hóa sinh và Sinh học phân tử,https://hus.vnu.edu.vn/khoa-hoc-cong-nghe/phong-thi-nghiem
https://hus.vnu.edu.vn/DATA/IMAGES/2020/06/35.ptn-bm-vi-sinh-vat-hoc.pdf,PTN BM Vi sinh vật học,https://hus.vnu.edu.vn/khoa-hoc-cong-nghe/phong-thi-nghiem
https://hus.vnu.edu.vn/DATA/IMAGES/2020/06/37.ptn-bm-sinh-hoc-te-bao.pdf,PTN BM Sinh học tế bào,https://hus.vnu.edu.vn/khoa-hoc-cong-nghe/phong-thi-nghiem
https://hus.vnu.edu.vn/DATA/IMAGES/2020/06/38.ptn-bm-sinh-ly-hoc-va-sinh-hoc-nguoi.pdf,PTN BM Sinh lý học và sinh học người,https://hus.vnu.edu.vn/khoa-hoc-cong-nghe/phong-thi-nghiem
https://hus.vnu.edu.vn/DATA/IMAGES/2020/06/42.ptn-bm-sinh-thai-hoc.pdf,PTN BM Sinh thái học,https://hus.vnu.edu.vn/khoa-hoc-cong-nghe/phong-thi-nghiem
https://hus.vnu.edu.vn/DATA/IMAGES/2020/06/46.ptn-bm-sinh-thai-canh-quan-va-moi-truong.pdf,46.ptn-bm-sinh-thai-canh-quan-va-moi-truong.pdf,
https://hus.vnu.edu.vn/DATA/IMAGES/2020/06/50.ptn-bm-dia-chat-moi-truong.pdf,PTN BM Địa chất môi trường,https://hus.vnu.edu.vn/khoa-hoc-cong-nghe/phong-thi-nghiem
https://hus.vnu.edu.vn/DATA/IMAGES/2020/06/58.ptn-bm-sinh-thai-moi-truong.pdf,58.ptn-bm-sinh-thai-moi-truong.pdf,
